"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
2001,"Abancay",2,"T20001","Estando las cosas del Cuzco desta manera, los <italic>chancas</italic> -como atras conte- avian vençido a los <italic>quichuas</italic> y ocupado la mayor parte de la <italic>provinçia</italic> de <italic>Andavaylas</italic> ; y como estuviesen vitoriosos, oyendo lo que se dezia de la grandeza del <italic>Cuzco</italic> e su riqueza e la magestad de los <italic>Yngas</italic> , desearon de no estarse encojidos ni dexar de pasar adelante, ganando con las armas todo lo a ellos posible. Y luego hizieron grandes plegarias a sus dioses o demonios y dexando en <italic>Andavaylas</italic> , ques la que los españoles llaman <italic>Andaguaylas</italic> , questa encomendada a Diego Maldonado el rico, jente bastante para la defensa della, y con la que estava junta para la guerra, salio <italic>Hastu Guaraca</italic> y un hermano suyo muy vatiente, llamado <italic>Oma Guaraca</italic> , y partieron de su <italic>provinçia</italic> con muy gran sobervia camino del <italic>Cuzco</italic> , y anduvieron hasta llegar a <italic>Curanba</italic> , donde asentaron su real y hizieron gran daño en los naturales de la comarca. Mas como en aquellos tienpos muchos de los pueblos estuviesen en los altos y <italic>collados</italic> de las sierras, con grandes sercas, que llaman <italic>‘pucaraes’</italic> , no se podia hazer muchas muertes ni querian cativos ni mas que robar los canpos. Y salieron de <italic>Curanba</italic> y fueron al aposento de <italic>Cochacaxa</italic> y al rio de <strong>Abancay</strong> destruyendo todo lo que hallavan; y asi se açercaron al <italic>Cuzco</italic> , adonde ya avia ydo la nueva de los enemigos que venian contra la çibdad...",130
2002,"Achi Oclo",2,"T20002","La una de sus mugeres fue estéril, que nunca se empreñó; en la otra ovo tres hijos varones y una hija: el mayor fue nonbrado <italic>ÇincheRoca Ynga</italic> y la hija <strong>Achi Oclo</strong> ;",22
2003,"Acos",2,"T20003","[Y como se hobiesen holgado los] dias que le pareçio a <italic>Ynga Yupangue</italic>, / les hablo; como queria que fuesen a los <italic>Guancas</italic> y a los <italic>Yayos</italic> e sus vezinos a procurar de los traer en su amistad y serviçio sin guerra, y quando no, que dandosela, se diesen malla de los vençer y forçar que lo hiziesen. Respondieron todos que harian lo que mandava con gran boluntad. Fueron señalados capitanes de cada naçion y sobre todos fue por general <italic>Lloque Yupangue</italic> y con el, para consejo, <italic>Copa Yupangue</italic>; y avisandoles de lo que avian de hazer, salieron del <italic>Cuzco</italic> y caminaron hasta la <italic>provinçia</italic> de <italic>Andaguailas</italic>, adonde fueron bien reçibidos por los <italic>chancas</italic>; y salio con ellos un capitan, llamado <italic>Anco Allo</italic>, con copia de jente de aquella tierra para servir en la guerra del <italic>Ynga</italic>. De <italic>Andaguaylas</italic> fueron a <italic>Vilcas</italic>, adonde se estavan los aposentos y tenplo del Sol que <italic>Ynga Yupangue</italic> avia mandado hazer, y hablaron con todo amor a los que entendian en aquellas hobras. De <italic>Vilcas</italic> fueron por los pueblos de <italic>Guamanga</italic>, <italic>Açangaro</italic>, <italic>Parcos</italic>, <italic>Picoy</italic>, <strong>Acos</strong> y otros, los quales ya avian dado la obedençia al <italic>Ynga</italic> y proveian de bastimentos y de lo que mas tenian en sus pueblos y hazian el camino real que les hera mandado grande y muy ancho.",143
2004,"Açua",2,"T20004","Llegados los enbaxadores de los <italic>canas</italic>, fueron bien reçibidos por <italic>Ynga Viracoche</italic> y les respondio que fuesen los prençipales y mas viejos de los canas a <italic>Ayavire</italic>, adonde se verian,y que como oviese estado algunos dias en el tenplo de <italic>Vilcanota</italic> se daria prieça a verse con ellos. Y dio a los mensajeros algunas joyas y ropa de lana fina y mando a su jente de guerra que no fuesen osados de entrar en las casas de los <italic>canas</italic> ni robar nada de lo que tuviesen ni hazelles daño ninguno porque el buen coraçon que tenian no se les turvase y tomasen otro pensamiento. Los <italic>canas</italic>, oyda la respuesta, mandaron poner mucho mantenimiento por los caminos y abaxavan de los pueblos a servir al <italic>Ynga</italic>, que con mucha justiçia entendio en que no fuesen agraviados en cosa alguna: y eran proveydos de ganado y de <strong>açua</strong>, ques su vino. Y como ovo llegado al vano tenplo, hizieron sacrifiçios conforne a su jentilidad, matando muchos corderos para el sacrefiçio. De alli caninaron para <italic>Ayavire</italic>, donde los <italic>canas</italic> estavan con mucho proveymiento de bastimento.",125
2005,"Alaya",2,"T20005","Esto hecho, salio de aquel lugar con su jente el rey y no paro hasta el valle de <italic>Xauxa</italic>, adonde avia alguna controverçia y division sobre los limites y canpos del valle entre los mismos que del hera señor. Como <italic>Guaynacapa</italic> lo entendio, despues de aver hecho sacrifiçios como en <italic>Bilcas</italic>, mando juntar los señores <strong>Alaya</strong> , <italic>Cuçichuca</italic>, <italic>Guacoropora</italic> y entre ellos con yquidad repartio los canpos de la manera que oy /dia lo tienen.",187
2006,"Alcaviquiça",2,"T20006","Hechas las vodas, estava un varrlo çerca de la çibdad donde bivian un linaje de jente a quien llamavan <strong>Alcaviquiça</strong> , y estos no avian querido tener amistad con los del <italic>Cuzco</italic> ninguna. Y estando llenos de sospechas unos de otros, dizen que, yendo a tomar agua una muger del <italic>Cuzco</italic> a çierta fuente que por alli estava, salio un muchacho del otro varrio y le quebro el cantaro y hablo no se que palabras; la qual, dando gritos, bolvio al <italic>Cuzco</italic>. Y como estos yndios son tan alharaquientos, salieron luego con sus armas contra los otros, que tanvien avian tomado las suyas al ruydo que oyan, para ver en lo que parava el negoçio; y llegando el <italic>Ynga</italic> çerca con su jente se pusieron en horden de pelear, aviendo tomado por achaque cosa tan liviana como entre la yndia y [el] muchacho avia pasado, para querer sojuzgar los de aquel linaje o que la memoria dellos se perdiese. Y esto por los de <strong>Alcaviquiça</strong> bien era entendido; y como honbres de valor salieron a la batalla con gran denuedo, que fue la primera que se dio en aquellos tienpos; y pelearon gran rato asi los unos como los otros...",100
2006,"Alcaviquiça",2,"T20007","... porque aviendo sido el caso tan supito no avian podido allegar fabores ni buscar ayudas los de <strong>Alcaviquiça</strong> , los quales aunque mucho / pelearon, fueron vençidos despues de ser muertos todos los mas, que casi no escaparon çinquenta con la vida. Y luego el rey <italic>Mayta Capa</italic>, tomando poseçion en los canpos y eredades de los muertos, usando de vençedor, lo repartio todo por los vezinos del <italic>Cuzco</italic>; y se hizieron grandes fiestas por la vitoria, yendo todos a sacrificar a los oraculos que tenian por sagrados.",101
2007,"Anaconas",2,"T20008","Y quando no avia guerra, lo mas de todo lo comian y gastavan los proves, porque estando los reyes en el <italic>Cuzco</italic>, ellos tenian sus <strong>anaconas</strong> -que es nonbre de criado perpetuo-, y tantos que bastavan a labrar sus heredades y <italic>chacaras</italic> y senbrar tanto mantenimiento que bastase, sin lo qual para su plato se traya de las comarcas sienpre, muchos corderos y aves, y pescado, y <italic>mayz</italic>, <italic>coca</italic>, rayces con todas las frutas que se cojen. Y tal horden avia en estos tributos que los naturales los pagaban, y los <italic>Yncas</italic> se hallavan tan poderosos / que no tenian guerra ninguna que se recreciese[n].",52
2007,"Anaconas",2,"T20009","... Las mugeres que sacrificavan yvan vestidas asimismo ricamente con sus ropas finas de colores y de pluma y sus topos de oro y sus cucharas y escudillas y platos, todo de oro, y <italic>chuspas</italic> de <italic>coca</italic> de avisca: y asi adereçadas, despues de que an bien vevido, les ahogavan y enterravan creyendo, ellas y los que las matavan, que yvan a servir a su diablo o <italic>Guanacaure</italic>. Y hazianse grandes va[i]les y cantares quando se hazian semejantes sacrifiçios questos. Y tenia este ydolo, donde estava el oraculo, sus <italic>chacaras</italic> y <strong>anaconas</strong> y ganados y <italic>mamaconas</italic> y çaçerdotes que se aprovechan de lo mas dello.",84
2007,"Anaconas",2,"T20010","Sin estos tenplos se tuvo otro por tan estimado y frequentado como ellos, y mas, que avia por nonbre la <italic>Coropona</italic>, ques en la <italic>provinçia</italic> de <italic>Condesuyo</italic>, en un çerro muy grande, cubierto a la contina de nieve que ynvierno y verano no se quita jamas. Y los reyes del <italic>Peru</italic> con los mas prençipales del visitavan / este tenplo haziendo presentes y ofrendas como a los ya dichos. Y tienese por muy çierto que de los dones y capacocha que a este tenplo se le hizo, avia mucha suma de cargas de oro y plata y pedreria enterrado en partes que dello no se save y los yndios escondieron otra suma grande questava para serviçio del ydolo y de los çaçerdotes y <italic>mamaconas</italic>, que tanbien tenia muchos este tenplo y como avia tan grandes nieves no suven a lo alto ni saben atinar adonde estan tan grandes tesoros. Mucho ganado tenia este tenplo y <italic>chacaras</italic> y serviçio de yndios y <strong>anaconas</strong>.",85
2007,"Anaconas",2,"T20011","El fue caminando hazia <italic>Chile</italic> con toda su jente, acavando de domar, par donde pasava, las jentes que avia. Paso gran travajo par los despoblados y fue mucha la nieve que sobre ellos cayo; lleva[va]n toldos con que se guareçer y muchos <strong>anaconas</strong> e mugeres de serviçio. Por todas estas nieves se yva haziendo el camino o a ya estava hecho y bien linpio y postas puestas par todo el.",183
