id_palabra,"Palabra","id_cronista","id_texto","cita","pagina"
17001,"Abancay",17,"T17001","… y mandó guardar el río y <i>puente</i> de <strong>Abancay</strong> e hizose allí fuerte…",211
17001,"Abancay",17,"T17002","… menos a los becinos del <i>Cuzco</i> por manera que antes se hizo Almagro daño con la entrada del <talic>Cuzco</i> y con la vatalla de <strong>Avancay</strong>…",215
17002,"adoratorios / adoratorios del Cuzco",17,"T17003","… quando el <i>ynga</i> ganaba una <i>provincia</i> les dava las maneras de lo que abían de guardar en su servicio y lo que abían de adorar y los instruyan en los sacrificios y les mandavan hazer sus adoratores [sic: <strong>adoratorios</strong>] y doctarlos y ofrecerles muy largo con mui grand servicio de mujeres y onbres...",159
17002,"adoratorios / adoratorios del Cuzco",17,"T17004","… grandes <strong>adoratorios</strong> [en Cuzco] de sus ydolatrias y la casa del sol con todo su servicio de oro y plata",123
17002,"adoratorios / adoratorios del Cuzco",17,"T17005","… abían de partir del <i>Cuzco</i> corriendo con grand grito y regozijo y avían de subir sin descansar unas sierras altas que están frontera del <i>Cuzco</i> donde tenían grandes <strong>adoratorios</strong> y ydolatrías…",155
17002,"adoratorios / adoratorios del Cuzco",17,"T17006","… la orden por donde fundaban sus <i>huacas</i> que ellos llaman a las ydolatrías era porque dezían que todas criava el sol y que les dava madre, por madre que <i>mochaban</i> a la tierra porque dezían que tenía madre y teníanle hecho su <i>bulto</i> y sus <strong>adoratorios</strong>...",161
17002,"adoratorios / adoratorios del Cuzco",17,"T17007","… y al oro asimismo dezían que era lágrimas que el sol lloraba y así quando hallaban algúnd grano grande de oro en las minas sacrificávanle y enchíanlo de sangre y poníanlo en su <strong>adoratorio</strong> y dezían que estando allí aquella <i>huaca</i> o lágrima del sol todo el oro de la tierra se vernía a juntar con él...",161
17002,"adoratorios / adoratorios del Cuzco",17,"T17008","… muy antiguamente antes que el <i>ynga</i>los governase, ellos no tenían aquellos <strong>adoratorios</strong> ni sabían qué se era y que los <i>yngas</i> se los hazían tener pero que ya que ben que aquello de los <i>yngas</i> todo era mentira y todo se deshizo y que lo que les dizen los padres es lo bueno...",163
17002,"adoratorios / adoratorios del Cuzco",17,"T17009","Sacavan en un llano ques a la salida del <i>Cuzco</i> azia do sale el sol en amanesciendo, todos los <i>bultos</i> de los <strong>adoratorios</strong> del <i>Cuzco</i> y los de más autoridad ponían debaxo de toldos de pluma muy ricos y bien obrados...",178
17002,"adoratorios / adoratorios del Cuzco",17,"T17010","… tornaban aquellos <i>bultos</strong> y <i>reliquias</i> pésimas a sus <i>casas</i> y <strong>adoratorios</strong>…",180
17002,"adoratorios / adoratorios del Cuzco",17,"T17011","… acaescieron estas cosas en el mes de abril de 1535 quando en el valle del <i>Cuzco</i> se cogían los <i>maízes</i> y sementeras en la qual cosecha los <i>señores del Cuzco</i> tenían costumbre de hazer cada año un grand sacrificio al sol y a todas las <i>guacas</i> y <strong>adoratorios del Cuzco</strong> por ellos y por todas sus <i>provincias</i> y <i>reynos</i> las quales començó el <i>ynga</i> de hazer...",177
17003,"albarradas",17,"T17012","… y caminando por él [camino real del ynga] alguno trecho descuydándose los <i>yndios</i> de guardar sus <strong>albarradas</strong> y <i>caminos</i> que yban a la <i>fortaleza</i>…",199-200
17004,"anan Cuzco",17,"T17013","Entre estos <i>horejones</i> o <i>yngas</i> que biben en el <i>Cuzco</i>, ay dentro de la ciudad del <i>Cuzco</i> dos <i>parcialidades</i>: la una es de los <i>yngas</i> que biben en <i>horin Cuzco</i> ques en lo baxo del <i>Cuzco</i> y otros que biben en <strong>anan Cuzco</strong> ques en <itaic>Cuzco</i> de arriva, porque el <i>Cuzco</i> está situado en sierra y llano y tiénense entre ellos por más hidalgos y nobles los del <itatlic>Cuzco</i> de arriba...",153
17005,"Andes",17,"T17014","… tubo abiso como el <i>ynga</i> se abia retirado de allí azia unas montañas que se dizen los <strong>Andes</strong> ques tierra muy trabajosa de andar y muy áspera donde los caballos balen poco, por cuya cabsa por entonces cesó la conquista del <i>ynga</i> ...",208
17006,"apachita",17,"T17015","… y cada bez que pasan algún puerto de niebe o frío que encumbra [sic: <i>punku</i>] tienen allí por <i>huaca</i> y adoración y señal que la ay, un grand montón de piedras [sic: <strong>apachita</strong>] puestas muchas saetas ensangrentadas y ofrescen allí de lo que lleban...",162
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17016","En el <i>Cuzco</i> abía las <i>casas del sol</i> que era muy bien obradas de cantería y arcadas junto a la techumbre de una plancha de oro de palmo y medio de ancho y lo mismo tenían por dentro de cada <i>boyo</i> o casa y <strong>aposento</strong>...",159
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17017","… salieron de su <strong>aposento</strong>…",202
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17018","… llobia mucho y el <strong>aposento</strong> donde estaba el adelantado y los suyos estaba hecho una ciénaga…",206
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17019","… de quatro a quatro leguas destos dos <i>caminos</i> en todo lo que ellos duran avía <strong>aposentos</strong> del <i>ynga</i> donde los que caminaban se acojían…",138
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17020","… y <strong>aposentos</strong> y casas de oratorios del sol con sus servicios de mujeres que se llamaban <i>mamaconas</i> que eran como beatas que guardaban castidad…",139
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17021","… y <strong>aposentos</strong> para la gente de guerra y hecho esto cada bez engruesabe el <i>ynga</i>su exercito para lo de adelante y tenían grandes <i>depósitos</i> en el <i>Cuzco</i> y en todas sus <i>provincias</i> de municiones de guerra...",156
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17022","… y para castigarlos por la muerte destos tres españoles juntólos todos en unos <strong>aposentos</strong> donde estaba aposentados … y los prendió; en conclusión hizo quemar más de treinta <i>señores</i> vibos atados cada uno de un palo y a los demás <i>indios comunes</i> repartió por esclavos...",190
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17023","… y pasando adelante en ganando la <i>provincia>/italic> les mandaban que se bistiessen todos a la manera de los <i>yngas</i> ellos y sus mugeres e hiziessen casas de piedra y <i>pueblo</i> en el <i>camino real</i> con su plaça y <strong>aposentos del ynga</strong> y sus <i>casas de mamaconas</i> que eran como beatas del servicio del sol...",156
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17024","… donde abia un <i>pueblo</i> con unos <strong>aposentos del ynga</strong>; el <i>ynga</i> como sintio que tenia Almagro pasado el río…",203
17007,"aposento / aposentos / aposentos reales / aposentos del ynga",17,"T17025","Asimismo en cada <i>pueblo</i> de todos los desta tierra y más principalmente en los destos dos <i>caminos reales</i> ay o avía sus <strong>aposentos reales</strong> del <i>ynga</i> y del sol con todo su servicio de <i>yndios</i> e <i>yndias</i> para servirle a él y a los <i>señores</i> y <i>capitanes</i> que él enviaba de unas partes a otras...",139
17008,"Apurima",17,"T17026","… salióse a la hora del <i>Cuzco</i> y vase la buelta de donde benía aquel capitán y doze leguas del <i>Cuzco</i> esperole en un paso muy dificultoso ques en el río y <i>puente</i> del <strong>Apurima</strong>…",210
17009,"arado / arados ",17,"T17027","Pasadas todas las <i>fiestas</i> en la última llevaban muchos <i>arados</i> de mano los quales antiguamente eran de oro y echos los oficios tomaba el <i>ynga</i> un <strong>arado</strong> y comenzaba con él a romper la tierra...",181
17009,"arado / arados ",17,"T17028","Pasadas todas las <i>fiestas</i> en la última llevaban muchos <strong>arados</strong> de mano los quales antiguamente eran de oro y echos los oficios tomaba el <i>ynga</i> un <i>arado</i> y comenzaba con él a romper la tierra...",181
17010,"Arequipa",17,"T17029","… la buelta de <strong>Arequipa</strong> por donde se reformó algo, tomo la buelta del <i>Cuzco</i> donde le dexaremos para su tiempo por dar a entender de que manera se hizo el <i>camino</i> del <i>Cuzco</i>.",194
17010,"Arequipa",17,"T17030","… ubo cabildo y votos para desamparar la <i>çiudad</i> e yr la bía de <strong>Arequipa</strong> por los llanos a la <i>çiudad</i> de <i>Los Reyes</i>…",198
17010,"Arequipa",17,"T17031","… después de averse reformado [Almagro y los suyos] algunos días en <strong>Arequipa</strong> saliéndole la tierra de paz, caminó la buelta del <i>Cuzco</i>, que es LXX leguas desta <i>provincia</i> de <i>Arequipa</i> y llegó dos meses antes al <i>Cuzco</i> que Alonso de Albarado...",200-201
