id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
30001,"agi","30","T30001","Entramos en la ciudad del <i>Cuzco</i>, adonde luego nos vinieron algunos <i>indios de paz</i>; en el <i>Cuzco</i> se halló gran cantidad de plata, mas que no de oro, aunque también huvo mucho oro; avia grandes depositos de municion para los <i>indios de guerra</i> de lanzas, y flechas, y porras, y tiraderas; avia galpones llenos de maromas tan gruesas como el muslo, y como el dedo con que arrastavan las piedras para los edificios; avia galpones de barretas de cobre llenas, atadas de diez, en diez que eran para las minas; avia grandes depositos de ropa de todas maneras, y depositos de <i>coca</i>, y <b>agi</b>, y deposito de <i>indios</i> desollados","289v. - 290","","","","sin datos"
30001,"agi","30","T30002","tocaron la trompeta para ir a saltear aquel <i>pueblo</i> de <i>Coaque</i>, y así se hizo, y se tomó el <i>cacique</i> de el, y se tuvo preso mucho tiempo; avia gran cantidad de ropa blanca de algodon; era un <i>pueblo</i> de grandes <i>casas</i>, y tenia muchos <i>idolos</i>, y atambores; avia mucha comida de <i>maiz</i>, y frutas; avia mucha albaca de castilla, y mucho <b>agi</b>; los <i>indios</i> eran fuertes, y guerreros; el <i>pueblo</i> tenia trecientos <i>buhios</i> muy grandes; es tierra lluviosa, de grandes truenos, y grandes culebras; y sapos, y tierra muy humeda (...) En este <i>pueblo</i> se tomaron diez y ocho mil pesos en oro, y alguna plata baxa (...) y quedamos en aquel <i>pueblo</i> mas de ocho meses; en este tiempo murió mucha gente de enfermedades","277 - 277v.","","","","sin datos"
30002,"Andamarca","30","T30003","y luego los oficiales del rey requirieron al governador, que matase a <i>Atabalipa</i>, porque si el vivía el rey perderia mucha cantidad de moneda, por ser <i>indio</i> tan velicoso; y así mataron a <i>Atabalipa</i>, y después de muerto salimos de <i>Caxamalca</i>, y vinimos a <i>Guamachulo</i> que es doce leguas de alli, y otras tres a <b>Andamarca</b>, adonde mataron a <i>Gualcar Inga</i>","287","","","","sin datos"
30003,"Apocima [sic: Apurímac]","30","T30004","que pues que avíamos gozado de las duras, que gozasemos entrar en el <i>Cuzco</i>, sin el socorro, que atras venía, y ansi caminamos sin tener guerra con los <i>indios</i> que nos dañase, y pasamos los ríos de <i>Vilcas</i>, <i>Avancay</i>, y <b>Apocima</b>, todos a nada encima de los caballos hasta llegar a <i>Lima-tambo</i> siete leguas de esa ciudad del <i>Cuzco</i>, y alli estuvimos dos días.","288 - 288v.","","","","sin datos"
30004,"Arequipa","30","T30005","que de la que trajo son vivos Pedro Diaz el de <i>Guamanga</i>, y Juan de la Torre el de <b>Arequipa</b>, e Yssasaga que está en <i>Lima</i>, los demas todos son muertos","277v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30006","ni tampoco avia nueva de <b>Atavalipa</b>","282","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30007","y desde aquel <i>pueblo</i> de <i>Carran</i> vimos un <i>camino</i> que parecia una sierra arriba, y el gobernador embió a Hernando de Soto con quarenta hombres, y yo fui con él, a que siguiese aquel <i>camino</i> hasta ver donde iba a parar, y empezando a hallar tierra poblada, y al cabo de 20 leguas dimos en un <i>pueblo</i> que se dice <i>Cajas</i>, de grandes edificios, y en el estava un <i>capitan</i> de <b>Atavalipa</b> con mas de 2000 <i>indios de guerra</i>, y avia en aquel <i>pueblo</i> tres <i>casas de mujeres</i>  recojidas que llamavan <i>mamacomas</i>, y como entramos, se sacaron las <i>mujeres</i> a la plaza, que heran mas de quinientas, y el <i>capitan</i> dio muchas de ellas a los españoles","282 - 282v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30008","el <i>capitan</i> del <i>inga</i> se ensobervecio mucho, y dijo, como osais vosotros a hacer esto estando <b>Atabalipa</b> veinte leguas de aqui, porque no ha de quedar hombre vivo de vosotros.","282v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30009","Luego el capitan Soto escribió al governador todo lo que pasaba, y de la sobervia de aquel <i>indio</i>, y el gobernador respondio, que sufriesen todos su soberbia, y le diesemos a entender, que le teniamos miedo, y con esto disimuladamente los tragesemos a <i>Carran</i>, donde el Governador estaba, y asi lo tragimos a <i>Carran</i> a donde se supo del todo lo de <b>Atabalipa</b>, y adonde estaba","282v. - 283","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30010","y de allí venimos hasta un <i>pueblo</i> quince leguas de <i>Caxamalca</i> a do estuvimos veinte dias; y allí demandó licencia el <i>capitan</i> <b>Atabalipa</b> que tragimos de <i>Caxas</i>, para ir a <i>Caxamalca</i> a verse con <b>Atabalipa</b>, y que el volvería desde a ocho dias","283","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30011","volvió dentro del termino que dixo, y nos halló ocho leguas de <i>Caxamalca</i>, y traxo un presente al governador que se lo envió <b>Atabalipa</b> que estaba en los <i>baños</i> una legua de <i>Caxamalca</i>","283 - 283v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30012","y preguntandole que era aquello respondió, y dixo, dice <b>Atabalipa</b> que de esta manera ordena poner los cueros a todos vosotros","283v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30013","y entonces el governador envió otro presente a <b>Atabalipa</b> con un <i>indio</i> <i>tallan</i>, que se llamaba <i>Guachapuro</i>","283v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30014","y de allí fuimos caminando con cuidado, porque avia una quebrada a donde <b>Atabalipa</b> quiso inviar gente a que allí nos matasen, y dejolo de hacer, porque el <i>inga</i> que venia con nosotros le dixo no envíes, vengan que yo te los daré atados a todos, porque ansi solo me han miedo, y también porque no has de matar a tres de ellos, que eran el herrador, y el barbero que hacia mozos a los hombres, y a Hernando Sanchez Morillo, que era gran bolteador","283v. - 284","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30015","y como el <i>inga</i> nos conocía a todos dijole eso, y así llegamos á <i>Caxamalca</i> un viernes, a mediodía, y <b>Atabalipa</b> estaba en los <i>baños</i> una legua de allí. ","284","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30016","Luego aquel dia el governador envió alcapitan Soto con 20 de a caballo a visitar a <b>Atabalipa</b>, y entró en los aposentos a donde estava,","284","","","","sin datos"
