Categorías,DATA PARA WEB
Accesorios de vestimenta,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista26/#chaquira">Chaquira [Andrés de Vega]</a></p>,
Accesorios de vestimenta,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chuspas">chuspas [Cristóbal de Albornoz]</a></p>
Accesorios de vestimenta,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cumbe">Cumbe [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#anca">Anca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ancas pata">Ancas Pata [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andazana">Andazana [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#andes">Andes [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apocomuyllo">Apocomuyllo [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apoguante">Apoguante [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#apoparato">Apoparato [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#ayas pampa">Ayas pampa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#barasuibira">Barasuibira [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#biccinca">Biccinca [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista25/#bilcas">Bilcas [Pedro Sancho]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#callacalla">Callacalla [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#capatone">Capatone [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#çaraçara">çaraçara [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#caroamcho">Caroamcho [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cayto">Cayto [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cayto guanacauri">Cayto guanacauri [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chaunicac llanguiama">Chaunicac llanguiama [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#checa">Checa [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chinchaycocha">Chinchaycocha [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#choclo cacha [sic: <b>choclo cocha</b>/ choclo cocha">Choclo cacha [sic: <b>Choclo cocha</b>/ Choclo Cocha [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chuchuranac">Chuchuranac [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#chunta">Chunta [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#coan">Coan [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#coana">Coana [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#corauire">Corauire [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#coropona">Coropona [Cristóbal de Albornoz]</a></p>
Accidente geográfico,<p><a href="https://glosascroniquenses.github.io/Glosario/autores/cronista01/#cuychacolla">Cuychacolla [Cristóbal de Albornoz]</a></p>
